,Company,Date,Open,High,Low,Close,Adj Close,Volume
58,SOBHA.NS,2020-05-14,215.649994,215.649994,200.550003,213.350006,213.350006,917874
59,SOBHA.NS,2020-05-15,215.0,220.0,207.5,209.5,209.5,274767
60,SOLARINDS.NS,2020-05-04,870.0,880.099976,855.0,875.650024,875.650024,16253
61,SOLARINDS.NS,2020-05-05,893.650024,893.650024,869.0499880000001,877.9500119999999,877.9500119999999,12869
62,SOLARINDS.NS,2020-05-06,894.9500119999999,894.9500119999999,862.099976,881.0499880000001,881.0499880000001,42364
63,SOLARINDS.NS,2020-05-07,865.25,879.599976,851.75,861.9500119999999,861.9500119999999,9440
64,SOLARINDS.NS,2020-05-08,869.2999880000001,879.849976,855.0,859.75,859.75,2344
65,SOLARINDS.NS,2020-05-11,859.75,877.7000119999999,859.75,875.400024,875.400024,3014
66,SOLARINDS.NS,2020-05-12,865.0499880000001,868.0,851.0499880000001,856.4500119999999,856.4500119999999,4017
67,SOLARINDS.NS,2020-05-13,887.9500119999999,925.0,870.0,887.9500119999999,887.9500119999999,8628
68,SOLARINDS.NS,2020-05-14,898.0,913.900024,860.150024,884.2000119999999,884.2000119999999,33945
69,SOLARINDS.NS,2020-05-15,888.599976,893.9500119999999,871.0,884.650024,884.650024,1185
70,SONATSOFTW.NS,2020-05-04,209.80000299999998,209.899994,202.300003,204.100006,204.100006,157193
71,SONATSOFTW.NS,2020-05-05,216.0,216.30000299999998,203.300003,203.699997,203.699997,186855
72,SONATSOFTW.NS,2020-05-06,201.300003,220.0,198.100006,211.05000299999998,211.05000299999998,560272
73,SONATSOFTW.NS,2020-05-07,212.25,223.649994,211.600006,216.80000299999998,216.80000299999998,481693
74,SONATSOFTW.NS,2020-05-08,218.0,221.0,208.550003,210.25,210.25,195156
75,SONATSOFTW.NS,2020-05-11,212.69999700000002,214.80000299999998,205.100006,207.550003,207.550003,271948
76,SONATSOFTW.NS,2020-05-12,198.899994,203.899994,195.699997,197.449997,197.449997,386326
77,SONATSOFTW.NS,2020-05-13,204.0,204.0,197.0,198.25,198.25,242905
78,SONATSOFTW.NS,2020-05-14,199.649994,199.649994,190.100006,191.199997,191.199997,221844
79,SONATSOFTW.NS,2020-05-15,192.800003,194.850006,185.0,185.5,185.5,253771
80,SOUTHBANK.NS,2020-05-04,5.85,5.9,5.65,5.7,5.7,10716522
81,SOUTHBANK.NS,2020-05-05,5.8,5.8,5.6,5.6,5.6,7127535
82,SOUTHBANK.NS,2020-05-06,5.65,5.65,5.35,5.5,5.5,12385382
83,SOUTHBANK.NS,2020-05-07,5.5,5.65,5.45,5.6,5.6,5611938
84,SOUTHBANK.NS,2020-05-08,5.65,5.7,5.5,5.55,5.55,4626063
85,SOUTHBANK.NS,2020-05-11,5.6,5.65,5.3,5.35,5.35,15627119
86,SOUTHBANK.NS,2020-05-12,5.35,5.4,5.2,5.35,5.35,6957231
87,SOUTHBANK.NS,2020-05-13,5.55,5.7,5.45,5.5,5.5,10122279
88,SOUTHBANK.NS,2020-05-14,5.5,5.55,5.4,5.5,5.5,5195504
89,SOUTHBANK.NS,2020-05-15,5.5,5.55,5.15,5.3,5.3,17570240
90,SPANDANA.NS,2020-05-04,476.700012,476.700012,476.700012,476.700012,476.700012,22446
91,SPANDANA.NS,2020-05-05,500.5,500.5,500.5,500.5,500.5,5468
92,SPANDANA.NS,2020-05-06,525.5,525.5,502.60000599999995,525.5,525.5,82616
93,SPANDANA.NS,2020-05-07,551.75,551.75,499.25,505.200012,505.200012,124825
94,SPANDANA.NS,2020-05-08,515.0,515.0,479.950012,483.049988,483.049988,28253
95,SPANDANA.NS,2020-05-11,490.0,490.0,458.89999400000005,459.5,459.5,18625
96,SPANDANA.NS,2020-05-12,450.0,450.0,436.549988,439.700012,439.700012,17019
97,SPANDANA.NS,2020-05-13,461.60000599999995,461.64999400000005,461.60000599999995,461.64999400000005,461.64999400000005,12562
98,SPANDANA.NS,2020-05-14,484.700012,484.700012,463.0,484.700012,484.700012,12357
99,SPANDANA.NS,2020-05-15,504.950012,508.0,490.0,504.60000599999995,504.60000599999995,25721
100,SPICEJET.NS,2020-05-04,42.599998,43.200001,42.599998,42.599998,42.599998,941307
101,SPICEJET.NS,2020-05-05,40.75,42.5,40.5,40.549999,40.549999,4981051
102,SPICEJET.NS,2020-05-06,41.400002,41.400002,38.700001,39.650002,39.650002,2226110
103,SPICEJET.NS,2020-05-07,40.0,41.0,39.700001,40.099998,40.099998,1244244
104,SPICEJET.NS,2020-05-08,40.799999,41.0,38.599998,38.900002,38.900002,1797892
105,SPICEJET.NS,2020-05-11,40.799999,40.799999,39.650002,40.799999,40.799999,5392982
106,SPICEJET.NS,2020-05-12,42.400002,42.799999,41.0,42.799999,42.799999,6181963
107,SPICEJET.NS,2020-05-13,44.900002,44.900002,44.900002,44.900002,44.900002,550616
108,SPICEJET.NS,2020-05-14,46.0,46.099998,43.0,43.450001,43.450001,6056219
109,SPICEJET.NS,2020-05-15,43.549999,45.599998,41.5,45.599998,45.599998,6023717
110,STARCEMENT.NS,2020-05-04,75.0,78.75,73.650002,77.349998,77.349998,45931
111,STARCEMENT.NS,2020-05-05,75.550003,78.599998,72.0,73.699997,73.699997,109209
112,STARCEMENT.NS,2020-05-06,73.699997,73.699997,72.550003,73.0,73.0,20302
113,STARCEMENT.NS,2020-05-07,73.5,73.599998,70.150002,71.550003,71.550003,34331
114,STARCEMENT.NS,2020-05-08,71.550003,72.5,69.050003,69.550003,69.550003,47191
115,STARCEMENT.NS,2020-05-11,70.0,71.300003,67.199997,68.25,68.25,137925
116,STARCEMENT.NS,2020-05-12,68.75,70.400002,66.5,69.550003,69.550003,43375
117,STARCEMENT.NS,2020-05-13,73.849998,73.849998,70.75,72.300003,72.300003,60279
118,STARCEMENT.NS,2020-05-14,72.0,72.050003,70.0,71.150002,71.150002,15858
119,STARCEMENT.NS,2020-05-15,73.5,73.800003,69.5,71.199997,71.199997,121979
120,SBIN.NS,2020-05-04,182.449997,183.5,178.0,178.850006,178.850006,58118177
121,SBIN.NS,2020-05-05,181.0,181.25,168.800003,170.399994,170.399994,91050439
122,SBIN.NS,2020-05-06,171.149994,173.300003,166.550003,171.100006,171.100006,73156432
123,SBIN.NS,2020-05-07,170.850006,172.550003,168.800003,170.75,170.75,42942399
124,SBIN.NS,2020-05-08,172.449997,173.800003,166.100006,166.649994,166.649994,55932236
125,SBIN.NS,2020-05-11,167.949997,168.899994,165.0,165.449997,165.449997,54591827
126,SBIN.NS,2020-05-12,164.199997,168.5,160.850006,166.899994,166.899994,70752542
127,SBIN.NS,2020-05-13,178.550003,178.550003,170.5,174.100006,174.100006,81720683
128,SBIN.NS,2020-05-14,170.949997,171.75,167.5,167.949997,167.949997,48136531
129,SBIN.NS,2020-05-15,167.949997,168.25,164.699997,166.399994,166.399994,35472756
130,SAIL.NS,2020-05-04,29.549999,29.700001,28.4,28.85,28.85,19496308
131,SAIL.NS,2020-05-05,29.6,29.700001,28.200001,28.4,28.4,19206540
132,SAIL.NS,2020-05-06,28.4,28.6,27.35,28.35,28.35,13068084
