Company Name,Industry,Change in 1 Year
Dishman Carbogen Amcis Ltd,PHARMA,-62.82
Divi's Laboratories Ltd,PHARMA,33.55
Dixon Technologies (India) Ltd,CONSUMER GOODS,94.64
DLF Ltd,CONSTRUCTION,-14.99
Dr Lal Path Labs Ltd,HEALTHCARE SERVICES,51.86
Dr Reddy's Laboratories Ltd,PHARMA,34.17
EID Parry (India) Ltd,FERTILISERS & PESTICIDES,-24.94
eClerx Services Ltd,IT,-59.41
Edelweiss Financial Services Ltd,FINANCIAL SERVICES,-73.24
Eicher Motors Ltd,AUTOMOBILE,-27.79
EIH Ltd,SERVICES,-59.99
Elgi Equipments Ltd,INDUSTRIAL MANUFACTURING,-50.64
Emami Ltd,CONSUMER GOODS,-49.73
Endurance Technologies Ltd,AUTOMOBILE,-42.46
Engineers India Ltd,CONSTRUCTION,-39.67
Equitas Holdings Ltd,FINANCIAL SERVICES,-60.51
Eris Lifesciences Ltd,PHARMA,-20.75
Escorts Ltd,AUTOMOBILE,-3.46
Essel Propack Ltd,INDUSTRIAL MANUFACTURING,31.88
Exide Industries Ltd,AUTOMOBILE,-26.57
FDC Ltd,PHARMA,41.74
Federal Bank Ltd,FINANCIAL SERVICES,-47.39
Federal-Mogul Goetze (India) Ltd,AUTOMOBILE,-33.47
Fine Organic Industries Ltd,CHEMICALS,44.9
Finolex Cables Ltd,INDUSTRIAL MANUFACTURING,-42.06
Finolex Industries Ltd,INDUSTRIAL MANUFACTURING,-13.4
Firstsource Solutions Ltd,IT,-30.27
Fortis Healthcare Ltd,HEALTHCARE SERVICES,-8.34
Future Consumer Ltd,CONSUMER GOODS,-78.36
Future Lifestyle Fashions Ltd,CONSUMER GOODS,-67.65
Future Retail Ltd,CONSUMER GOODS,-79.75
GAIL (India) Ltd,OIL & GAS,-46.23
Galaxy Surfactants Ltd,CHEMICALS,34.97
Garware Technical Fibres Ltd,TEXTILES & PAPER,17.72
Gayatri Projects Ltd,CONSTRUCTION,-91.37
GE Power India Ltd,INDUSTRIAL MANUFACTURING,-50.7
GE TandD India Ltd,INDUSTRIAL MANUFACTURING,-66.56
General Insurance Corporation of India,FINANCIAL SERVICES,-41.72
GHCL Ltd,CHEMICALS,-58.54
Gillette India Ltd,CONSUMER GOODS,-29.27
Glenmark Pharmaceuticals Ltd,PHARMA,-47.2
GMR Infrastructure Ltd,CONSTRUCTION,2.7
Godfrey Phillips India Ltd,CONSUMER GOODS,-9.09
Godrej Agrovet Ltd,CONSUMER GOODS,-21.93
Godrej Consumer Products Ltd,CONSUMER GOODS,-16.66
Godrej Industries Ltd,CONSUMER GOODS,-48.57
Godrej Properties Ltd,CONSTRUCTION,-18.35
Granules India Ltd,PHARMA,44.9
Graphite India Ltd,INDUSTRIAL MANUFACTURING,-45.58
Grasim Industries Ltd,CEMENT & CEMENT PRODUCTS,-43.97
Greaves Cotton Ltd,INDUSTRIAL MANUFACTURING,-46.17
Grindwell Norton Ltd,INDUSTRIAL MANUFACTURING,-14.92
Gujarat Alkalies and Chemicals Ltd,CHEMICALS,-25.05
Gujarat Gas Ltd,OIL & GAS,62.79
Gujarat Mineral Development Corporation Ltd,METALS,12.44
Gujarat Narmada Valley Fertilizers and Chemicals Ltd,CHEMICALS,-91.77
Gujarat Pipavav Port Ltd,SERVICES,-34.51
Gujarat State Fertilizers and Chemicals Ltd,FERTILISERS & PESTICIDES,-55.18
Gujarat State Petronet Ltd,OIL & GAS,3.68
Gulf Oil Lubricants India Ltd,OIL & GAS,-31.11
HEG Ltd,INDUSTRIAL MANUFACTURING,-37.6
Hatsun Agro Product Ltd,CONSUMER GOODS,-27.89
Havells India Ltd,CONSUMER GOODS,-27.26
HCL Technologies Ltd,IT,-8.13
HDFC Asset Management Company Ltd,FINANCIAL SERVICES,49.3
HDFC Bank Ltd,FINANCIAL SERVICES,-13.54
HDFC Life Insurance Company Ltd,FINANCIAL SERVICES,23.85
HeidelbergCement India Ltd,CEMENT & CEMENT PRODUCTS,-3.96
Hero MotoCorp Ltd,AUTOMOBILE,-50.9
Hexaware Technologies Ltd,IT,-14.55
HFCL Ltd,TELECOM,-51.02
Himadri Speciality Chemical Ltd,CHEMICALS,-54.95
Himatsingka Seide Ltd,TEXTILES & PAPER,-74.57
Hindalco Industries Ltd,METALS,-36.81
Hindustan Aeronautics Ltd,INDUSTRIAL MANUFACTURING,-21.07
Hindustan Copper Ltd,METALS,-43.43
Hindustan Unilever Ltd,CONSUMER GOODS,24.88
Hindustan Zinc Ltd,METALS,-36.93
Honeywell Automation India Ltd,INDUSTRIAL MANUFACTURING,19.11
Housing and Urban Development Corporation Ltd,FINANCIAL SERVICES,-38.77
Housing Development Finance Corporation Ltd,FINANCIAL SERVICES,-24.36
ICICI Bank Ltd,FINANCIAL SERVICES,-6.71
ICICI Lombard General Insurance Company Ltd,FINANCIAL SERVICES,18.04
ICICI Prudential Life Insurance Company Ltd,FINANCIAL SERVICES,11.55
ICICI Securities Ltd,FINANCIAL SERVICES,65.06
ICRA Ltd,FINANCIAL SERVICES,-27.68
IDBI Bank Ltd,FINANCIAL SERVICES,-45.49
IDFC First Bank Ltd,FINANCIAL SERVICES,-56.16
IDFC Ltd,FINANCIAL SERVICES,-63.89
IFB Industries Ltd,CONSUMER GOODS,-54.85
IFCI Ltd,FINANCIAL SERVICES,52.38
