Name,Company,Industry,Date,Open,High,Low,Close,Adj Close,Volume
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,SERVICES,03-05-19,393,398.399994,385.049988,387.25,382.815643,1863548
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,SERVICES,06-05-19,386,386.049988,378.450012,379.799988,375.450928,1648057
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,SERVICES,07-05-19,381,383.950012,370.100006,371.899994,367.641388,1628805
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,SERVICES,08-05-19,370.049988,374.899994,367.700012,369.799988,365.56543,1688110
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,SERVICES,09-05-19,369.899994,370.700012,361.100006,363.899994,359.733002,1315271
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,SERVICES,10-05-19,363.899994,378.700012,363.899994,372.549988,368.283966,3030255
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,SERVICES,13-05-19,369.899994,372.299988,362.950012,364.75,360.573273,1520562
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,SERVICES,14-05-19,362.899994,373.799988,362,370.549988,366.306854,3050760
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,SERVICES,15-05-19,371,375,359.100006,360.149994,356.02594,2499138
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,SERVICES,16-05-19,361,374,361,371.5,367.245972,3157194
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,SERVICES,17-05-19,368.799988,372.799988,362,367.100006,362.896393,3059404
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,SERVICES,20-05-19,388.5,408.200012,376.049988,400.100006,395.518494,10973781
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,SERVICES,21-05-19,409,411.399994,385.299988,387.600006,383.161621,9115899
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,SERVICES,22-05-19,389,393.450012,378.399994,385.950012,381.530518,4543570
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,SERVICES,23-05-19,398.950012,430.600006,392.149994,407.549988,402.883179,23021274
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,SERVICES,24-05-19,408.450012,414.850006,399.5,410.25,405.552246,9272570
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,SERVICES,27-05-19,409.25,417.299988,405.600006,412.399994,407.677643,5088602
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,SERVICES,28-05-19,420,426.799988,408.700012,412.649994,407.924774,18296760
