Security,Industry,Change_Since Lockdown
FMGOETZE,AUTOMOBILE,8%
FORTIS,HEALTHCARE,7%
FRETAIL,CONSUMER GOODS,11%
FSL,IT & TELECOM,-8%
GAIL,ENERGY,7%
GALAXYSURF,CHEMICALS,6%
GARFIBRES,INDUSTRIAL MANUFACTURING,6%
GAYAPROJ,INFRASTRUCTURE,59%
GEPIL,ENERGY,1%
GESHIP,INDUSTRIAL MANUFACTURING,20%
GET&D,INDUSTRIAL MANUFACTURING,-4%
GHCL,CHEMICALS,-6%
GICRE,FINANCIAL SERVICES,7%
GILLETTE,CONSUMER GOODS,-2%
GLAXO,HEALTHCARE,-2%
GLENMARK,HEALTHCARE,5%
GMDCLTD,METALS,-4%
GMRINFRA,INFRASTRUCTURE,0%
GNFC,FERTILISERS & PESTICIDES,-2%
GODFRYPHLP,CONSUMER GOODS,0%
GODREJAGRO,CONSUMER GOODS,1%
GODREJCP,CONSUMER GOODS,-4%
GODREJIND,CONSUMER GOODS,-4%
GODREJPROP,INFRASTRUCTURE,-1%
GPPL,INDUSTRIAL MANUFACTURING,6%
GRANULES,HEALTHCARE,-2%
GRAPHITE,INDUSTRIAL MANUFACTURING,11%
GRASIM,INFRASTRUCTURE,-7%
GREAVESCOT,INDUSTRIAL MANUFACTURING,-13%
GRINDWELL,INDUSTRIAL MANUFACTURING,15%
GSFC,FERTILISERS & PESTICIDES,-2%
GSPL,ENERGY,2%
GUJALKALI,CHEMICALS,12%
GUJGASLTD,ENERGY,1%
GULFOILLUB,ENERGY,0%
HAL,INDUSTRIAL MANUFACTURING,-6%
HATSUN,CONSUMER GOODS,0%
HAVELLS,CONSUMER GOODS,3%
HCLTECH,IT & TELECOM,18%
HDFC,FINANCIAL SERVICES,18%
HDFCAMC,FINANCIAL SERVICES,1%
HDFCBANK,FINANCIAL SERVICES,14%
HDFCLIFE,FINANCIAL SERVICES,2%
HEG,INDUSTRIAL MANUFACTURING,7%
HEIDELBERG,INFRASTRUCTURE,1%
HERITGFOOD,CONSUMER GOODS,-11%
HEROMOTOCO,AUTOMOBILE,22%
HEXAWARE,IT & TELECOM,2%
HFCL,IT & TELECOM,-4%
HIMATSEIDE,INDUSTRIAL MANUFACTURING,-10%
HINDALCO,METALS,8%
HINDCOPPER,METALS,-1%
HINDPETRO,CHEMICALS,3%
HINDUNILVR,CONSUMER GOODS,-10%
HINDZINC,METALS,0%
HONAUT,INDUSTRIAL MANUFACTURING,7%
HSCL,CHEMICALS,3%
HUDCO,FINANCIAL SERVICES,11%
IBREALEST,FINANCIAL SERVICES,17%
IBULHSGFIN,FINANCIAL SERVICES,25%
IBULISL,FINANCIAL SERVICES,-4%
IBVENTURES,FINANCIAL SERVICES,8%
ICICIBANK,FINANCIAL SERVICES,11%
ICICIGI,FINANCIAL SERVICES,12%
ICICIPRULI,FINANCIAL SERVICES,23%
ICRA,FINANCIAL SERVICES,-2%
IDBI,FINANCIAL SERVICES,3%
IDEA,IT & TELECOM,-1%
IDFC,FINANCIAL SERVICES,-9%
IDFCFIRSTB,FINANCIAL SERVICES,-9%
IEX,ENERGY,-2%
IFBIND,CONSUMER GOODS,15%
IFCI,FINANCIAL SERVICES,-1%
IGL,CHEMICALS,3%
IIFL,FINANCIAL SERVICES,-8%
INDHOTEL,SERVICES,-1%
INDIACEM,INFRASTRUCTURE,-2%
INDIAMART,SERVICES,3%
INDIANB,FINANCIAL SERVICES,13%
INDIGO,SERVICES,-1%
INDOSTAR,FINANCIAL SERVICES,1%
INDUSINDBK,FINANCIAL SERVICES,8%
INFIBEAM,IT & TELECOM,24%
INFRATEL,IT & TELECOM,2%
INFY,IT & TELECOM,15%
INOXLEISUR,MEDIA & ENTERTAINMENT,-8%
INTELLECT,IT & TELECOM,-10%
IOB,FINANCIAL SERVICES,3%
IOC,ENERGY,-1%
IPCALAB,HEALTHCARE,7%
IRB,INFRASTRUCTURE,-5%
IRCON,INFRASTRUCTURE,-10%
ISEC,FINANCIAL SERVICES,11%
ITC,CONSUMER GOODS,-2%
ITDC,INFRASTRUCTURE,-1%
ITDCEM,INFRASTRUCTURE,-11%
ITI,IT & TELECOM,-3%
J&KBANK,FINANCIAL SERVICES,25%
JAGRAN,MEDIA & ENTERTAINMENT,-11%
JAICORPLTD,METALS,12%
JAMNAAUTO,AUTOMOBILE,-3%
JBCHEPHARM,HEALTHCARE,7%
JCHAC,CONSUMER GOODS,7%
JINDALSAW,METALS,-4%
JINDALSTEL,METALS,8%
JISLJALEQS,METALS,19%
JKCEMENT,INFRASTRUCTURE,2%
JKLAKSHMI,INFRASTRUCTURE,-1%
JKPAPER,INDUSTRIAL MANUFACTURING,5%
JKTYRE,AUTOMOBILE,3%
JMFINANCIL,FINANCIAL SERVICES,-14%
JSL,METALS,10%
JSLHISAR,METALS,-8%
JSWENERGY,ENERGY,7%
JSWSTEEL,METALS,6%
JUBILANT,HEALTHCARE,18%
JUBLFOOD,CONSUMER GOODS,7%
JUSTDIAL,IT & TELECOM,23%
JYOTHYLAB,CONSUMER GOODS,5%
KAJARIACER,INFRASTRUCTURE,3%
KALPATPOWR,ENERGY,31%
KANSAINER,CONSUMER GOODS,13%
KARURVYSYA,FINANCIAL SERVICES,10%
KEC,INFRASTRUCTURE,9%
KEI,INDUSTRIAL MANUFACTURING,4%
KENNAMET,INDUSTRIAL MANUFACTURING,-1%
KIRLOSENG,INDUSTRIAL MANUFACTURING,12%
KNRCON,INFRASTRUCTURE,3%
KOLTEPATIL,INFRASTRUCTURE,26%
KOTAKBANK,FINANCIAL SERVICES,20%
KPITTECH,IT & TELECOM,34%
KPRMILL,CONSUMER GOODS,4%
KRBL,CONSUMER GOODS,-8%
KSCL,FERTILISERS & PESTICIDES,-2%
KTKBANK,FINANCIAL SERVICES,-1%
L&TFH,FINANCIAL SERVICES,7%
LAKSHVILAS,FINANCIAL SERVICES,18%
LALPATHLAB,INFRASTRUCTURE,6%
LAURUSLABS,HEALTHCARE,28%
LAXMIMACH,INDUSTRIAL MANUFACTURING,-3%
LEMONTREE,SERVICES,1%
LICHSGFIN,FINANCIAL SERVICES,10%
LINDEINDIA,CHEMICALS,1%
LT,INFRASTRUCTURE,-2%
LTI,IT & TELECOM,9%
LTTS,IT & TELECOM,1%
LUPIN,HEALTHCARE,1%
LUXIND,INDUSTRIAL MANUFACTURING,2%
M&M,AUTOMOBILE,3%
M&MFIN,FINANCIAL SERVICES,-1%
MAGMA,FINANCIAL SERVICES,10%
MAHABANK,FINANCIAL SERVICES,4%
MAHINDCIE,INDUSTRIAL MANUFACTURING,27%
MAHLOG,SERVICES,-8%
